product_no,product_name,ingredients,category
97,Algida Classics Oreo,"Su, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Şeker, Kakaolu Bisküvi Parçaları [buğday Unu, Şeker, Bitkisel Yağ (palm, Kakaotozu (%4, 9, Glikoz-fruktoz Şurubu, Nişasta, Kabartıcılar (sodyum Karbonat, Amonyum Hidrojen Karbonat, Tuz, Emülgatör (soya Lesitini, Aroma Verici, Glikoz-fruktoz Şurubu, Yağsız Süt Tozu, Yağsız Süt (% 3, 8, Peyniraltı Suyu Tozu (süt Ürünü, Kakao Tozu (%1, 5, Süt Proteini, Emülgatörler (yağ Asitlerinin Mono Ve Digliseridleri, Ayçiçek Lesitini, Poligliserol Polirisionelat, Kıvam Arttırıcılar (guar Gam, Keçiboynuzu Gamı, Karragenan, Renklendirici (bitkisel Karbon, Aroma Verici",Dondurma
98,Algida Cornetto Classico Çikolatalı,,Dondurma
99,Algida Cornetto Disc Oreo,"Su, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Kanola, Glikoz-fruktoz Şurubu, Buğday Unu (gluten Içerir, Kakao Kitlesi, Yağsız Süt Tozu, Pastörize Yağsız Süt, Kakao Yağı, Peyniraltı Suyu Tozu (süt Ürünü, Kak",Dondurma
100,Algida Cornetto Disc Vanilya & Karamel,"Su, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Glikoz-fruktoz Şurubu, Buğday Unu (gluten Içerir, Yağsız Süt Tozu, Peynir Altı Suyu Tozu (süt Ürünü, Kakao Kitlesi, Kakao Yağı, Kakaotozu (%1, 3, Fındık Parça, Tam Yağlısüt Tozu, Süt Proteini, Maltodekstrin, Süt Yağı, Karamel Şurup (%0, 5) [glikoz Şurubu, Şeker, Su, Asitlik Düzenleyici (sitrik Asit, Emülgatörler (yağ Asitlerinin Mono Ve Digliseridleri, Ayçiçek Lesitini, Amonyum Fosfatitler, Poligliserol Polirisinoleat, Kıvam Arttırıcılar (guar Gam, Selüloz Gam, Keçi Boynuzugamı, Tara Gam, Karragenan, Nem Verici (gliserol, Tuz, Aroma Vericiler, Renklendiriciler (amonyak Karamel, Anatto",Dondurma
101,Algida Dubai Harikası,"Antep Fıstıklı Bitkisel Yağlı Sütlü Buz (%57) [su, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Antep Fıstık Püre (%5, Yağsız Süt Tozu, Süt Proteini, Peyniraltı Suyu Tozu (süt Ürünü, Kıvam Arttırıcılar",Dondurma
102,Algida Frigola Fındık & Çikolata,,Dondurma
103,Algida İce Coffee,"Su, Şeker, Yağsız Süt Tozu, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Çözünebilir Kahve (%1, 1, Kıvam Arttırıcılar (tara Gam, Guar Gam, Keçiboynuzu Gamı, Emülgatör (yağ Asitlerinin Mono Ve Digliseritleri, Renklendir",Dondurma
104,Algida Kadayıf ve Fındık Parçalı Sade Dondurma,"Tel Kadayıf (8.7%) Ve Kavrulmuş Fındık Parçalı (%5.6) Sade Dondurma (%85.7) . Su, Şeker, Süt Kreması, Fındık Parça, Yağsız Süt Tozu, Buğday Unu (gluten Içerir, Pastörize Yağlı Keçi Sütü, Peyniraltı Suyu Tozu (süt Ürünü, Süt",Dondurma
105,Algida Karlar Ülkesi Karamel & Vanilya,"Su, Şeker, Bitkisel Yağlar (değişen Miktarlarda Hindistancevizi, Palm, Ayçiçek, Yağsız Süt Tozu, Peynir Altı Suyu Tozu (süt Ürünü, Süt Proteini, Kalsiyum, Kıvam Arttırıcılar (guar Gam, Selüloz Gam, Keçi Boynuzu Gamı, Tara Gam, Karra",Dondurma
106,Algida Keyif Antepfıstık & Vanilya,,Dondurma
